2023-05-12 23:59:28 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 161ms
2023-05-12 23:59:28 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 9ms
2023-05-12 23:59:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 27ms
2023-05-12 23:59:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 13ms
2023-05-12 23:59:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 14ms
2023-05-12 23:59:30 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 8ms
2023-05-12 23:59:32 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 5ms
2023-05-12 23:59:32 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 7ms
2023-05-12 23:59:33 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 6ms
2023-05-12 23:59:33 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 13ms
2023-05-12 23:59:33 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 60ms
2023-05-12 23:59:33 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 4ms
2023-05-12 23:59:35 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 6ms
2023-05-12 23:59:35 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 9ms
2023-05-12 23:59:36 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 6ms
2023-05-12 23:59:36 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 4ms
2023-05-12 23:59:36 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 7ms
2023-05-12 23:59:36 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 4ms
2023-05-12 23:59:38 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 20ms
2023-05-12 23:59:38 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 5ms
2023-05-12 23:59:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 4ms
2023-05-12 23:59:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 3ms
2023-05-12 23:59:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 3ms
2023-05-12 23:59:39 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 6ms
2023-05-12 23:59:41 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 5ms
2023-05-12 23:59:41 INFO  [c.e.h.controller.PatientController] API:GetMapping see/appointments/approve/id, Response state: OK, Request time: 11ms
2023-05-12 23:59:43 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 8ms
2023-05-12 23:59:43 INFO  [c.e.h.controller.PatientController] API: see/appointments/approve/id, Response state: OK, Request time: 8ms
2023-05-12 23:59:46 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 60ms
2023-05-12 23:59:46 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 47ms
