2023-05-13 00:00:11 INFO  [c.e.h.controller.PatientController] API: /add-query, Response state: OK, Request time: 209ms
2023-05-13 00:00:21 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 4ms
2023-05-13 00:00:21 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 11ms
2023-05-13 00:00:23 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 16ms
2023-05-13 00:00:23 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 12ms
2023-05-13 00:00:26 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 5ms
2023-05-13 00:00:26 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 5ms
2023-05-13 00:00:34 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 4ms
2023-05-13 00:00:34 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 4ms
2023-05-13 10:48:40 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 298ms
2023-05-13 10:48:40 INFO  [c.e.h.controller.AdminController] API: /doctors, Response state: OK, Request time: 20ms
2023-05-13 10:48:42 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 83ms
2023-05-13 10:48:43 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 3ms
2023-05-13 10:49:30 INFO  [c.e.h.controller.AdminController] API: /reply-query/id, Response state: OK, Request time: 618ms
2023-05-13 10:52:15 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 4ms
2023-05-13 10:52:15 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 44ms
2023-05-13 10:52:22 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 10ms
2023-05-13 10:52:23 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 3ms
2023-05-13 10:52:34 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 107ms
2023-05-13 10:52:34 INFO  [c.e.h.controller.PatientController] API: /get/quiries/id, Response state: OK, Request time: 19ms
2023-05-13 10:53:15 INFO  [c.e.h.controller.PatientController] API: /add-query, Response state: OK, Request time: 291ms
2023-05-13 10:53:44 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 32ms
2023-05-13 10:53:44 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 4ms
2023-05-13 10:53:50 INFO  [c.e.h.controller.AdminController] API: /reply-query/id, Response state: OK, Request time: 186ms
2023-05-13 10:53:54 INFO  [c.e.h.controller.AdminController] API: /doctor, Response state: OK, Request time: 4ms
